1,2,3,4,5,6,7,8,9,10,y_true,y_pred
2.748869721261809396e+00,2.176350225270196503e+00,5.255290744124476721e-01,2.111698897243530493e-01,-1.270776777488901832e+00,1.984611409723011088e-01,-1.937844034103027857e-01,1.178575162699363243e+00,-2.031741454501836852e+00,8.930628278745466053e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.056889895526868983e+01,2.948741186082540100e+00,7.133608412449148339e+00,1.716455125930532177e-01,-3.450244881628807825e-01,-4.822147030917543375e+00,-3.723874352496183704e-01,-9.127329541725077711e-01,1.088494505359034914e+00,5.366793453458822416e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.004200107063411007e+00,-1.792392636997720778e+00,1.286572698462618569e-01,-5.653889493252609588e-01,-3.435015221117195261e-01,1.713976438512230471e+00,9.793457238391515274e-01,4.963952526629059392e+00,-1.635535986991711654e+00,2.200234387500122901e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.028250099886678148e+00,1.315439984831370257e+00,8.842607640733454177e-01,2.227121873360996263e-01,1.213016443545622991e+00,-4.332589343349750599e-02,-9.277261220627862626e-01,-7.310591816263336540e-01,-1.365598562341051592e-01,-2.932544716141837760e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.009442427190082814e+00,1.390317458408944828e+00,3.666408141311005009e-01,-8.166401834365071277e-01,5.552580342948360004e-01,-1.964582117771641601e-01,-7.293293759965522316e-01,2.020716645844258252e+00,2.370600494211002052e-01,5.143328525498471748e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.016763639815167597e+00,-3.131628986774423140e+00,1.618471150496649316e-02,-8.056011584772603262e-01,-2.441740070539742957e-01,-1.031926735523695182e+00,4.872647842758426329e-01,3.460794986555911112e+00,-1.863802663070883492e+00,9.897549515599236569e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.394415761397987286e+00,1.278128617331783179e+00,1.187302768264760999e+00,-6.392022740652448798e-01,8.075605983548810318e-01,2.300022046787945085e-01,-5.217060261431427648e-01,-8.400495706192767642e-01,5.071886452072086326e-01,7.029057312130598811e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.076524695656783992e+00,-8.255010997156313479e-01,2.080830246625972713e+00,-5.810276266645154897e-02,4.388502991682736720e-01,-3.810651524289848102e-01,6.416253145691400706e-01,-7.724109545594263215e-01,-6.381541237242741582e-01,9.286677077016582960e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.424018570858133659e+00,9.094366588903923798e-01,1.183564886051655662e+00,-1.464115717574407505e+00,1.489223400434327438e+00,8.650735565682209360e-01,-5.989600487057892275e-01,5.825175278612908514e-01,-8.296249612266343165e-01,5.619363684732695541e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.011745376106694350e+00,2.652774915497970176e-01,4.586044385888116137e-01,-7.557353381198983477e-02,-8.032336762772560590e-01,-4.729568771160337803e+00,-1.304774498438546204e-01,-4.505435618662745334e-01,-2.588457344615949229e-01,5.789075790344486716e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.229610951059657120e+00,1.177061491136603966e-01,4.538357999771228668e-01,-6.413602625264013923e+00,-2.176176585121269103e+00,-5.646057141390485867e-01,1.259434338932222008e+00,2.599475802035100092e+00,3.667140598497283799e-01,8.182905550633807756e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.057156298471559008e+00,-1.488218954219243884e+00,1.119061592400469873e-01,-1.885253482432017691e+01,-3.766715130582867777e-01,1.219364843752346772e+00,-2.924064851150076638e-02,-2.346534434267106839e+00,1.441192805706797531e+00,9.474671969296324381e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.018251237393610342e+00,-4.167271950638291589e-01,4.643822677238210184e-02,-6.091404594803061512e-01,-9.713392982977280266e-01,1.628079471445289306e+00,-8.189871440415760762e-02,3.849182158155315836e+00,-2.395350285793338863e+00,-7.501644121077674088e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.020459702330005491e+00,-3.704028577500430019e-01,1.767397740447311863e-02,-3.724600981359771357e-01,8.673358959432948545e-01,-8.177291612392598719e-01,1.214437815659534237e-01,4.717857076754192747e+00,-2.504141626586316782e+00,7.927407569235388474e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.027339116586916123e+00,4.040319607956016634e-01,4.822853413391897659e-01,-9.810472485343103843e-02,9.257016030440184950e-01,-2.139249929673939121e+00,1.624432681679567336e-01,-1.583257802832684913e+00,-4.316050899755715653e-01,2.054118227206803982e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.025087352223752246e+00,6.373831791135018410e-01,4.836377002394038893e-01,-2.663668803397259977e-01,5.420116691175571155e+00,-5.609368977932470912e+00,-6.626239836022496110e-01,-2.436606956373885691e+00,-9.579869833180582051e-01,9.462284997875333170e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.068522112313913919e+00,1.813517944737781662e-03,4.791412177944694761e+00,-2.661985808473446014e+00,-9.276204207348409669e-01,-4.776739282747339388e+00,-3.737665886407393057e-01,-1.346358565943055030e+00,-8.798748590813592826e-03,5.833501762522163014e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.065257619532391953e+00,-8.365273991243123985e-01,1.969196538708017086e-01,-3.827478722883832063e+01,5.346362106003981207e-01,-1.132932040938748219e+00,6.252481343477306330e-01,3.684106750678933562e+00,-2.837474611819112091e+00,8.005807195237277796e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.817456654394256077e+00,2.050818799088531819e+00,4.999621013046242068e-01,7.500229771993995875e-01,-1.027143981006802154e+00,1.775145203968205188e+00,-7.837853230372637814e-01,8.667496943594699133e-02,4.847166008585059860e-01,6.356288035581454388e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.792673695132460665e+00,2.502611929971083615e-01,6.688345263834171162e-01,-6.623619716074319319e-01,-4.353479434293268113e-01,1.197785021744835338e-01,6.272648791031716353e-01,-1.224555741614738347e+00,1.246134552120622851e+00,9.818332331191923501e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.374512534877945447e+00,5.294040631840932765e-01,8.881735361442899546e-01,-2.422637501417560305e-03,-3.354164050092129923e-01,5.519996951459560375e-01,-1.995204356481177499e-01,-9.367276677605159696e-01,3.743033590452944925e-01,2.749680382642980536e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.006561658330887399e+00,-3.169203767200020394e+00,8.424132118592155827e-01,-3.472679895311173048e+00,-5.239071666583711151e-01,-1.435882169788956775e+00,1.477680675854034842e+00,-1.305100040832631869e-01,-1.163495669124918336e-01,9.820678150598829426e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.789898759394028982e+00,1.742355048987427990e+00,8.935326757968869993e-02,2.813628053658911998e-02,2.439296551705382177e-01,-4.490644438086302870e+00,3.057099213822321859e-01,1.388240845556212300e-01,1.067753847594101302e+00,8.420353665174689084e-01,0.000000000000000000e+00,0.000000000000000000e+00
